login	name	team
antonietapv		
bmarlos10		apollo
chernandezbl	César Hernández	artemis
danilloEdvisor		
edvisor-io-devops	Mr. Robot	
eugeneedv		
hiagomrsouza		Artemis
hiiamthiago	Thiago Vilela	apollo
iagocalazans	Iago Calazans	artemis
isabelaqa	Isabela Alonso	artemis
LucasGomesSantos	Lucas Gomes	apollo
nicholasps14		apollo
nickalexmiller		
OtavioRDF		artemis
PedroBragaDuarte	Pedro Duarte	artemis
Projects-Smith	Smith	
shelleychn	Shelley Chen	apollo
silveiralsv	Lucas	apollo
stringbeans		
viniciusaportela	Vinicius A. Portela	apollo
